"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J15";"TerminalBlock_Pheonix_MPT-2.54mm_3pol";1;"Conn_Spare";;;
2;"J2";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"OUT1";;;
3;"J1";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"24 V AC IN";;;
4;"J3";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"OUT2";;;
5;"J4";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"OUT3";;;
6;"S1";"SW_SPST_FSM6JSMA";1;"SW-ENTER";;;
7;"S3";"SW_SPST_FSM6JSMA";1;"SW-DEC";;;
8;"S4";"SW_SPST_FSM6JSMA";1;"SW-MODE";;;
9;"S2";"SW_SPST_FSM6JSMA";1;"SW-INC";;;
10;"R3,R9,R15";"R_0805";3;"200";;;
11;"JP1,JP2,JP3";"R_0805";3;"LED_en";;;
12;"D5";"D_SOD-323_HandSoldering";1;"CDSOD323-T05L";;;
13;"U1,U2,U3";"Optocoupler_6pin_smd";3;"MOC3063M";;;
14;"R12,R1,R5,R7,R13,R17";"R_0805";6;"360";;;
15;"BT1";"CR2032_SMD2";1;"Batt_RTC";;;
16;"J14";"pad_rect_smd";1;"W2";;;
17;"J12";"pad_rect_smd";1;"W1";;;
18;"J10";"pad_rect_smd";1;"Y2";;;
19;"J7";"pad_rect_smd";1;"RC";;;
20;"J9";"pad_rect_smd";1;"Y1";;;
21;"J11";"pad_rect_smd";1;"G";;;
22;"J8";"pad_rect_smd";1;"C";;;
23;"J6";"pad_rect_smd";1;"RH";;;
24;"Logo2";"logo-OSHW_6mm";1;"OSHW";;;
25;"Logo3";"logo-kicad_6mm_SilkScreen";1;"KiCad";;;
26;"Logo1";"logo-WL3";1;"LOGO_WL";;;
27;"Logo4";"logo-skull_n_bones";1;"logo_snb";;;
28;"C1,C3,C5";"C_1210";3;"10nF,120V";;;
29;"Q1,Q2,Q3";"DPAK-2";3;"BTA204S";;;
30;"U4";"Wemos_Lolin";1;"Wemos-Lolin";;;
31;"D4";"Diode_bridge";1;"DiodeBridge";;;
32;"U6";"DS3231";1;"DS3231N";;;
33;"U5";"TDFN-10";1;"MAX17502FATB+T";;;
34;"TP1";"Pin_Header_Straight_1x01";1;"~RST";;;
35;"TP2";"Pin_Header_Straight_1x01";1;"SQR";;;
36;"TP3";"Pin_Header_Straight_1x01";1;"32kHz";;;
37;"C8,C7";"C_0805";2;"100nF";;;
38;"C9";"C_0805";1;"100nF,100V";;;
39;"C11";"C_0805";1;"2.2uF,50V";;;
40;"C12";"C_0805";1;"1uF";;;
41;"C13";"C_0805";1;"3.3nF";;;
42;"C14";"C_0805";1;"10uF";;;
43;"C15";"C_0805";1;"4.7uF";;;
44;"R4,R10,R16";"R_0805";3;"300";;;
45;"R6,R11,R18";"R_0805";3;"39";;;
46;"R19,R20,R21,R22,R26,R27";"R_0805";6;"10k";;;
47;"L2,L4";"R_0805";2;"330E";;;
48;"R23,R24,R25";"R_0805";3;"0E";;;
49;"R28,R29";"R_0805";2;"4K7";;;
50;"J13";"USB_Micro-B_Molex-105017-0001";1;"USB_microAB";;;
51;"J5";"Pin_Header_Straight_1x04";1;"I2C_ext1";;;
52;"D1,D2,D3";"LED_0603";3;"LED";;;
53;"F1";"Fuse_SMD2920";1;"Polyfuse";;;
54;"J16";"Pin_Header_Straight_1x04";1;"5V_SEL";;;
55;"L1";"Inductor_ELL8TP";1;"22uH";;;
56;"JP4";"LED_0402";1;"GND";;;
57;"SC1,SC2,SC3,SC4";"MountingHole_3.2mm_M3_Pad_Via";4;"SCREW";;;
58;"C10";"CP_Elec_10x10";1;"100uF,50V";;;
59;"Logo5";"logo-warning";1;"logo_warning";;;
