"Designator","Quantity","Digi PN","Mfg PN"
"BT1",1,"BK-912-ND","BK-912"
"C1,C3,C5",3,"399-12880-1-ND","LDEIB2100KA0N00"
"C7,C8",2,"490-8049-1-ND","GCM21BR71H104KA37K"
"C9",1,"1276-6733-1-ND","GCM21BR71H104KA37K"
"C10",1,"565-4786-1-ND","HHXC500ARA101MJA0G"
"C11",1,"587-4963-1-ND","UMK212BB7225MG-T"
"C12",1,"1276-1029-1-ND","CL21B105KBFNNNE"
"C13",1,"399-1153-1-ND","C0805C332K5RACTU"
"C14",1,"587-3319-1-ND","EMK212BB7106MG-T"
"C15",1,"1276-2873-1-ND","CL21B475KOFNNNE"
"D1,D2,D3",3,"160-1828-1-ND","LTST-C193KGKT-5A"
"D4",1,"MDB6SFSCT-ND","MDB6S"
"D5",1,"CDSOD323-T05LCT-ND","CDSOD323-T05L"
"F1",1,"507-1743-1-ND","0ZCF0075AF2C"
"J1,J2,J3,J4",4,"A98333-ND","282834-2"
"J13",1,"WM1399CT-ND",1050170001
"J16",1,"S1011EC-04-ND","PRPC004SAAN-RC"
"JP1,JP2,JP3",3,"YAG3755CT-ND","AC0805JR-070RL"
"Shorting link for J16",1,"S9337-ND","QPC02SXGN-RC"
"L1",1,"PCD2446CT-ND","ELL-8TP220MB"
"L2,L4",2,"445-1569-1-ND","MPZ2012S331AT000"
"Q1,Q2,Q3",3,"1740-1106-1-ND","BTA204S-600E,118"
"R1,R5,R7,R12,R13,R17",6,"311-360CRCT-ND","RC0805FR-07360RL"
"R3,R9,R15",3,"311-200ARCT-ND","RC0805JR-07200RL"
"R4,R10,R16",3,"311-300ARCT-ND","RC0805JR-07300RL"
"R6,R11,R18",3,"311-39ARCT-ND","RC0805JR-0739RL"
"R19,R20,R21,R22,R26,R27",6,"311-10KARCT-ND","RC0805JR-0710KL"
"R28,R29",2,"311-4.70KCRCT-ND","RC0805FR-074K7L"
"S1,S2,S3,S4",4,"450-1133-ND","FSM6JSMA"
"U1,U2,U3",3,"MOC3063SR2MCT-ND","MOC3063SR2M"
"U5",1,"MAX17502FATB+TCT-ND","MAX17502FATB+T"
"U130",1,"DS3231M+-ND","DS3231M+"
